timestamp,commit_hash,pr_number,extension,total_size_bytes
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,exe,40493168
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,opt,271059432
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,a,124938560
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmxa,265954
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cma,218067547
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmi,19019438
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmx,42772688
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmo,1143540
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cms,0
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmsi,0
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmt,410756945
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,cmti,52011577
2025-09-25T11:32:45Z,7876336b89107444881deec7ed744c1ebabacd66,4759,o,58384
